canon powershot,2240000,0.50,1.05,83.42,41.98,550000
canon canon powershot,2240000,0.00,0,0,0.00,550000
canon canon camera,1830000,0.00,0,0,0.00,673000
canon pixma,1830000,2.27,1.05,220.71,500.46,246000
canon with lens,1220000,0.00,0,0,0.00,450000
canon lens lens,1220000,0.50,1.05,3.95,1.99,450000
the canon 5d,1220000,0.00,0,0,0.00,301000
canon 5d,1220000,0.68,1.05,389.72,266.60,301000
canon is cameras,1000000,12.10,1.05,8.19,99.15,368000
canon cameras,1000000,2.27,1.05,3160.79,"7,163.38",368000
